cod_aff_form#program_name#selectivity#geolocation#city#cod_uai#available_places#percent_admitted#number_applicants#percent_scholarship#out_of_sector_candidates#L2_continuation_rate#diploma_earned_ontime
12016#BTS - Services - Gestion des transports et logistique associée#formation sélective#{'lon': -149.48032, 'lat': -17.76876}#Papara#9840386X#24.0#40.0#141.0#30.0#40.0#83.9#58.9
12064#Formation des écoles de commerce et de management Bac + 3#formation sélective#{'lon': 0.04479, 'lat': 43.2215}#Tarbes#0650948C#30.0#95.0#80.0####
12281#BTS - Production - Métiers de la mode-vêtements#formation sélective#{'lon': 6.45578, 'lat': 48.1873}#Epinal#0880021V#24.0#34.0#293.0#20.0#54.0#85.4#71.9
12310#Licence - Langues étrangères appliquées - Parcours Anglais-Allemand débutant#formation non sélective#{'lon': 5.77421, 'lat': 45.19073}#Saint-Martin-d'Hères#0383546Y#20.0#98.0#65.0#11.0#50.0#39.7#44.1
12324#BTS - Services - Management en hôtellerie restauration#formation sélective#{'lon': 3.91229, 'lat': 43.6072}#Montpellier#0342225J#72.0#66.0#617.0#19.0#25.0#88.2#77.4
12461#Licence - Droit - Parcours multilingue, droit international et européen#formation sélective#{'lon': 3.04654, 'lat': 50.6326}#Lille#0596162C#157.0#60.0#965.0#8.0##41.4#48.3
12469#Double licence - Histoire / Langues, littératures & civilisations étrangères et régionales - HISTOIRE - LLCER ETUDES SLAVES#formation sélective#{'lon': 2.34698, 'lat': 48.8998}#Paris  5e  Arrondissement#0751720M#25.0#24.0#92.0#20.0##43.3#48.6
12535#Double licence - Langues, littératures & civilisations étrangères et régionales / Langues, littératures & civilisations étrangères et régionales - LLCER ANGLAIS - LLCER NEERLANDAIS#formation sélective#{'lon': 2.3469100000000003, 'lat': 48.9001}#Paris  5e  Arrondissement#0751720M#15.0#63.0#32.0#11.0##38.6#38.7
12604#Licence - Portail Pasteur : Chimie, Sciences de la vie, Sciences de la vie et de la terre, Sciences sanitaires et sociales#formation non sélective#{'lon': 5.3794, 'lat': 43.3052}#Marseille  3e  Arrondissement#0134015U#######
12621#Licence - Sciences et Humanités - Parcours Sciences et Humanités (Site Saint-Charles)#formation sélective#{'lon': 5.37922, 'lat': 43.3112}#Marseille  3e  Arrondissement#0134015U#36.0#47.0#209.0#17.0##81.8#71.4
12634#Licence - Langues étrangères appliquées - Parcours LEA Anglais Allemand#formation non sélective#{'lon': 3.04654, 'lat': 50.6326}#Lille#0592808G#100.0#100.0#103.0#25.0##39.7#44.1
20054#BTS - Agricole - Gestion forestière#formation sélective#{'lon': 2.9772600000000002, 'lat': 49.345}#Pierrefonds#0601194X#40.0#85.0#165.0#5.0#20.0#79.5#
20056#BTS - Services - Economie sociale familiale#formation sélective#{'lon': 2.31283, 'lat': 49.8774}#Amiens#0801479Y#35.0#57.0#267.0#21.0#49.0#69#
20060#BTS - Services - Economie sociale familiale#formation sélective#{'lon': 2.6923, 'lat': 48.759}#Ozoir-la-Ferrière#0772225A#24.0#42.0#319.0#24.0#50.0#69#
20063#Mention complémentaire - Technicien(ne) en soudage#formation sélective#{'lon': 6.19629, 'lat': 48.6754}#Nancy#0540081V#15.0#86.0#25.0####
20068#Mention complémentaire - Technicien(ne) en soudage#formation sélective#{'lon': 3.06851, 'lat': 50.3764}#Douai#0590065A#10.0#65.0#40.0####
20093#CPGE - TSI#formation sélective#{'lon': 3.68281, 'lat': 43.39538}#Sète#0340076Y#30.0#82.0#352.0#27.0##84.6#
20135#BTS - Production - Conception des processus de réalisation de produits (1ère année commune)#formation sélective#{'lon': 0.9299100000000001, 'lat': 43.4952}#Samatan#0320030J#12.0#97.0#64.0#25.0#58.0#82.8#61.0
20180#Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Etudes nordiques option : Islandais#formation non sélective#{'lon': -0.36388000000000004, 'lat': 49.1889}#Caen#0141408E#25.0#100.0#28.0#9.0#50.0#38.6#38.7
20194#BTS - Services - Métiers de la coiffure#formation sélective#{'lon': 4.86889, 'lat': 45.7452}#Lyon 8e  Arrondissement#0690092A#12.0#44.0#177.0#30.0#50.0#59.1#
20242#BTS - Services - Négociation et digitalisation de la Relation Client#formation sélective#{'lon': -61.0086, 'lat': 14.8058}#Sainte-Marie#9720692V#20.0#57.0#187.0#48.0#43.0#83.7#69.8
20275#BTS - Production - Systèmes photoniques#formation sélective#{'lon': 5.23277, 'lat': 43.3953}#Gignac-la-Nerthe#0133314G#25.0#88.0#42.0#9.0#5.0##
20291#BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique#formation sélective#{'lon': 2.3376200000000003, 'lat': 48.9178}#Saint-Ouen-sur-Seine#0932074Z#26.0#37.0#471.0#45.0#65.0#83.9#62.0
20330#Mention complémentaire - Accueil réception#formation sélective#{'lon': -0.04889, 'lat': 43.0899}#Lourdes#0650014M#12.0#86.0#72.0####
20373#CPGE - TSI#formation sélective#{'lon': 1.9118300000000001, 'lat': 47.9111}#Orléans#0450051L#48.0#76.0#265.0#24.0##84.6#
20411#Licence - Langues étrangères appliquées - Parcours Anglais/Italien#formation non sélective#{'lon': 6.01684, 'lat': 43.1369}#La Garde#0830766G#70.0#100.0#217.0#22.0#50.0#39.7#44.1
